tcgplayer_id,directLow,market,low,mid
161470 (Nonfoil),7.81,6.73,3.97,7.97
166660 (Foil),29.97,23.71,21.34,29.14
166660 (Nonfoil),9.5,13.63,8.99,13.0
166661 (Foil),37.42,31.09,23.99,36.44
166661 (Nonfoil),14.21,15.49,10.22,15.81
166662 (Foil),51.99,47.68,41.99,54.99
166662 (Nonfoil),29.99,21.39,18.5,21.71
179484 (Nonfoil),5.2,4.35,3.5,5.74
179484 (Foil),8.92,6.92,6.0,9.99
188636 (Foil),9.49,8.64,8.0,9.99
188636 (Nonfoil),2.94,3.08,1.94,3.26
190806 (Nonfoil),9.54,9.84,4.38,10.12
190806 (Foil),,32.88,31.99,35.63
191349 (Nonfoil),5.17,5.13,4.0,5.76
191349 (Foil),18.93,19.53,17.75,22.68
190787 (Nonfoil),6.9,6.91,5.6,8.74
190787 (Foil),34.99,36.77,34.0,39.99
190748 (Foil),94.98,92.67,87.5,95.0
190748 (Nonfoil),25.2,26.34,20.0,29.39
192562 (Nonfoil),29.94,16.43,10.0,14.99
192562 (Foil),27.77,24.22,26.25,30.0
199390 (Nonfoil),2.37,2.42,1.25,2.59
199390 (Foil),,2.8,2.25,3.33
199391 (Nonfoil),7.49,6.28,6.1,7.49
199391 (Foil),16.41,16.61,16.41,18.1
199287 (Nonfoil),,3.6,3.0,4.18
199287 (Foil),11.1,11.92,10.99,12.79
199289 (Nonfoil),,8.61,7.31,9.14
199289 (Foil),,29.28,27.0,31.2
199284 (Nonfoil),0.8,0.75,0.3,1.0
199284 (Foil),,2.81,1.36,2.86
199285 (Foil),,26.63,28.0,30.15
199285 (Nonfoil),7.51,8.06,6.99,8.25
212698 (Foil),29.99,26.74,25.63,29.99
212698 (Nonfoil),9.5,8.68,7.0,8.96
212690 (Foil),23.15,22.05,21.82,25.73
212690 (Nonfoil),7.45,6.3,4.5,7.43
212695 (Nonfoil),6.5,4.97,3.5,5.95
212695 (Foil),7.02,5.3,4.47,7.1
212696 (Nonfoil),7.12,6.79,5.75,8.5
212696 (Foil),27.88,23.06,21.49,25.3
212694 (Nonfoil),6.07,5.72,4.0,7.05
212694 (Foil),22.99,19.98,17.99,24.0
215655 (Foil),,18.13,14.99,22.03
215655 (Nonfoil),9.99,9.36,8.05,10.45
216140 (Nonfoil),,13.41,12.99,14.21
216140 (Foil),,,,
219101 (Foil),5.1,4.72,3.79,5.75
219101 (Nonfoil),4.0,4.07,3.0,4.41
218577 (Nonfoil),,13.28,12.95,17.57
218577 (Foil),17.51,15.63,14.0,21.39
218435 (Nonfoil),,13.72,10.0,15.0
218435 (Foil),,17.49,15.0,20.0
14108 (Nonfoil),15.65,12.55,10.82,15.99
14108 (Foil),,60.95,42.99,50.36
47453 (Nonfoil),7.18,12.4,8.28,10.74
47453 (Foil),,,,
36936 (Nonfoil),,,,
36936 (Foil),13.99,12.66,9.0,12.66
27108 (Nonfoil),,9.22,8.0,10.0
27108 (Foil),,31.16,27.0,30.85
13694 (Nonfoil),,12.03,10.91,12.58
13694 (Foil),19.55,21.96,19.46,20.86
13787 (Nonfoil),16.99,23.71,16.0,18.61
13787 (Foil),90.0,135.89,90.0,125.77
52175 (Nonfoil),5.69,5.11,3.63,5.4
52175 (Foil),,9.2,7.92,9.49
38282 (Nonfoil),,,,
38282 (Foil),,125.0,94.97,132.38
38281 (Nonfoil),,,,
38281 (Foil),,82.74,79.24,82.95
15408 (Nonfoil),,5.4,2.99,6.08
15408 (Foil),,16.74,8.0,10.8
15622 (Nonfoil),,6.66,5.0,7.25
15622 (Foil),,61.0,47.22,52.46
47663 (Nonfoil),3.96,4.07,1.93,4.93
47663 (Foil),,30.43,22.0,26.6
38344 (Nonfoil),,,,
38344 (Foil),,219.1,180.0,191.19
91630 (Nonfoil),,,,
91630 (Foil),52.48,39.92,37.2,39.49
9604 (Nonfoil),,24.14,20.81,25.0
9604 (Foil),,104.69,82.94,108.97
469 (Nonfoil),22.94,22.78,22.94,28.77
469 (Foil),,,,
189472 (Nonfoil),,,,
189472 (Foil),11.3,11.54,11.3,15.44
48140 (Nonfoil),,,,
48140 (Foil),,5.84,4.41,6.23
105919 (Nonfoil),,,,
105919 (Foil),,25.5,17.0,19.75
177517 (Nonfoil),,,,
177517 (Foil),,3.87,2.49,3.74
123402 (Foil),,14.99,12.75,15.04
123402 (Nonfoil),,,,
165593 (Nonfoil),,,,
165593 (Foil),,6.76,5.56,7.82
123348 (Foil),,8.1,8.96,11.67
123348 (Nonfoil),,,,
194036 (Foil),7.76,4.67,3.17,5.99
194036 (Nonfoil),,,,
13475 (Nonfoil),13.98,19.84,13.05,18.95
13475 (Foil),,114.08,119.99,130.32
36389 (Nonfoil),5.96,6.33,4.99,7.68
36389 (Foil),14.96,20.95,16.48,24.79
36229 (Nonfoil),,8.72,7.0,9.55
36229 (Foil),,21.18,20.45,21.88
5441 (Nonfoil),79.98,81.7,64.99,87.42
5441 (Foil),,,,
6275 (Nonfoil),,62.59,54.95,75.5
6275 (Foil),,316.79,326.51,370.96
6135 (Nonfoil),61.58,67.01,67.98,89.96
6135 (Foil),,699.95,450.0,479.23
7073 (Nonfoil),85.99,102.17,90.0,104.5
7073 (Foil),,,,
5951 (Nonfoil),14.94,34.52,20.0,39.97
5951 (Foil),,,,
6131 (Nonfoil),19.89,24.65,17.46,26.99
6131 (Foil),,,,
5969 (Nonfoil),10.75,17.42,12.99,17.0
5969 (Foil),,,,
34324 (Nonfoil),,9.09,7.85,13.99
34324 (Foil),,39.99,36.42,43.21
33464 (Nonfoil),,22.71,18.74,22.0
33464 (Foil),,30.39,26.4,30.17
68289 (Nonfoil),17.28,20.18,17.71,20.1
68289 (Foil),,34.13,40.84,42.85
71171 (Nonfoil),2.03,1.67,0.7,2.09
71171 (Foil),,4.67,2.11,4.5
71000 (Nonfoil),4.73,3.84,2.58,4.53
71000 (Foil),,7.17,4.99,10.44
78660 (Nonfoil),1.46,1.28,0.7,2.01
78660 (Foil),,5.05,2.66,4.99
78846 (Nonfoil),,19.46,16.61,20.0
78846 (Foil),,32.31,38.0,39.9
82180 (Nonfoil),,9.96,7.99,9.99
82180 (Foil),37.23,27.26,35.0,38.77
91041 (Nonfoil),14.24,13.76,7.0,13.42
91041 (Foil),,18.23,14.99,19.2
83170 (Nonfoil),3.95,5.97,2.5,7.44
83170 (Foil),49.95,65.57,43.99,61.02
94212 (Nonfoil),9.75,6.57,6.24,7.05
94212 (Foil),,,,
98647 (Nonfoil),,16.31,12.95,18.99
98647 (Foil),44.98,31.46,26.0,31.22
96065 (Nonfoil),,10.49,,
96065 (Foil),9.03,14.05,8.0,11.49
100217 (Nonfoil),14.25,12.51,10.0,13.25
100217 (Foil),,22.7,29.27,29.99
101468 (Nonfoil),,,,
101468 (Foil),37.33,49.4,37.33,44.99
105556 (Nonfoil),,,,
105556 (Foil),104.35,75.27,76.25,81.09
110737 (Nonfoil),,,,
110737 (Foil),108.43,58.65,45.99,106.72
110739 (Foil),34.19,36.66,34.19,39.39
110739 (Nonfoil),,,,
107840 (Nonfoil),5.4,4.98,2.99,6.66
107840 (Foil),,,,
113229 (Nonfoil),,1.95,0.5,1.99
113229 (Foil),,,,
118429 (Foil),,59.46,60.99,63.67
118429 (Nonfoil),,44.68,44.95,49.89
121180 (Foil),7.26,7.09,6.0,8.47
121180 (Nonfoil),,,,
128280 (Foil),,94.81,89.99,95.0
128280 (Nonfoil),70.45,63.64,53.76,65.98
130149 (Nonfoil),28.35,23.29,20.0,26.52
130149 (Foil),,30.24,25.0,33.49
139783 (Foil),,,,
139783 (Nonfoil),,12.87,9.99,15.0
145334 (Foil),,8.22,7.4,10.74
145334 (Nonfoil),7.5,7.46,5.75,7.5
151632 (Foil),7.99,7.69,7.69,9.19
151632 (Nonfoil),,,,
151642 (Nonfoil),,,,
151642 (Foil),,20.52,19.99,27.5
167762 (Nonfoil),10.0,9.41,6.99,11.06
167762 (Foil),28.48,30.67,26.0,33.64
166659 (Nonfoil),9.49,10.41,7.99,11.0
166659 (Foil),29.95,21.83,18.99,26.0
166663 (Foil),44.99,38.27,38.39,44.25
166663 (Nonfoil),16.0,14.44,12.0,15.95
175203 (Foil),13.62,13.89,13.0,14.97
175203 (Nonfoil),12.0,10.74,6.0,10.8
176777 (Nonfoil),14.6,12.29,10.0,13.55
176777 (Foil),19.98,19.38,17.44,22.81
179536 (Nonfoil),28.95,27.46,22.98,26.13
179536 (Foil),,31.33,31.88,33.85
183201 (Foil),,2.66,1.78,4.65
183201 (Nonfoil),0.59,0.86,0.15,1.01
188505 (Foil),,1.24,0.98,1.58
188505 (Nonfoil),,,,
188703 (Nonfoil),1.61,1.84,0.9,1.9
188703 (Foil),,3.09,2.58,3.99
190865 (Foil),15.16,15.11,13.82,22.0
190865 (Nonfoil),4.0,4.11,3.21,5.03
190793 (Foil),27.68,34.08,26.6,37.99
190793 (Nonfoil),5.84,5.73,4.91,7.35
190796 (Foil),21.0,21.9,20.95,24.0
190796 (Nonfoil),4.83,4.79,3.99,5.99
190784 (Nonfoil),9.41,9.41,8.5,11.0
190784 (Foil),32.39,32.89,31.0,39.99
192523 (Nonfoil),17.95,13.33,10.5,12.71
192523 (Foil),,15.71,14.44,18.0
198855 (Nonfoil),1.1,1.47,0.89,2.18
198855 (Foil),,7.06,5.86,9.17
206666 (Foil),11.27,11.7,10.51,12.99
206666 (Nonfoil),11.75,10.7,8.5,11.86
206693 (Nonfoil),12.19,10.69,8.82,12.03
206693 (Foil),,16.71,12.0,19.94
206011 (Nonfoil),1.39,1.46,0.91,2.69
206011 (Foil),3.16,2.98,2.38,4.75
206190 (Nonfoil),0.42,0.58,0.39,1.0
206190 (Foil),0.66,0.9,0.33,1.41
206838 (Foil),,1.23,0.5,1.31
206838 (Nonfoil),1.0,0.91,0.06,1.05
206947 (Foil),,5.79,4.49,7.0
206947 (Nonfoil),2.27,2.04,1.53,2.09
206640 (Foil),,10.3,10.17,12.18
206640 (Nonfoil),4.99,4.19,2.99,4.19
206639 (Nonfoil),3.25,3.15,2.35,4.3
206639 (Foil),,11.79,10.62,14.0
206641 (Nonfoil),,3.12,1.5,3.52
206641 (Foil),,8.26,7.0,9.18
206638 (Nonfoil),3.5,2.7,1.51,3.0
206638 (Foil),,7.61,5.8,8.79
206637 (Foil),,9.46,7.25,10.37
206637 (Nonfoil),2.86,2.97,2.6,3.5
205479 (Foil),,4.81,4.68,7.0
205479 (Nonfoil),,,,
212235 (Foil),19.93,18.41,18.28,22.22
212235 (Nonfoil),3.97,3.4,2.88,4.15
212692 (Nonfoil),8.89,8.48,6.34,9.49
212692 (Foil),,28.16,25.0,31.15
215502 (Foil),3.75,3.79,2.0,4.05
215502 (Nonfoil),,1.98,1.33,2.95
215537 (Foil),8.09,8.48,7.3,9.38
215537 (Nonfoil),59.53,3.48,2.5,4.19
215367 (Nonfoil),0.99,0.92,0.31,1.32
215367 (Foil),2.61,2.06,1.58,3.39
215599 (Nonfoil),,1.38,0.78,1.97
215599 (Foil),,2.32,1.65,2.69
215597 (Nonfoil),,1.48,1.0,2.14
215597 (Foil),,2.97,2.49,3.43
215595 (Foil),,3.45,2.5,4.0
215595 (Nonfoil),,1.77,1.0,2.08
215596 (Foil),,2.79,1.99,3.5
215596 (Nonfoil),,1.43,0.6,1.8
218589 (Foil),8.99,7.77,5.66,8.16
218589 (Nonfoil),5.5,5.34,4.5,6.64
218833 (Nonfoil),10.23,9.48,8.99,12.0
218833 (Foil),17.1,16.24,16.0,17.99
14000 (Nonfoil),9.99,13.87,9.01,14.06
14000 (Foil),46.44,53.0,46.44,50.98
14017 (Nonfoil),12.99,12.56,10.17,12.95
14017 (Foil),45.0,42.39,38.53,42.33
46825 (Nonfoil),12.18,10.63,8.95,11.14
46825 (Foil),,,,
4351 (Nonfoil),29.98,29.02,30.72,37.98
4351 (Foil),,,,
11920 (Nonfoil),,12.28,10.05,14.36
11920 (Foil),,53.85,32.0,39.99
1818 (Nonfoil),28.1,34.19,28.1,33.44
1818 (Foil),,,,
7458 (Nonfoil),12.96,12.29,9.3,12.28
7458 (Foil),,38.47,41.99,69.99
67746 (Nonfoil),,,,
67746 (Foil),,36.73,31.69,40.99
10177 (Nonfoil),13.99,9.49,6.79,8.29
10177 (Foil),,44.37,43.02,45.19
10182 (Nonfoil),,16.64,14.23,17.96
