TCGPlayerID,Foil
79991,FALSE
67188,TRUE
12524,FALSE
59521,FALSE
18779,FALSE
212223,FALSE
212540,FALSE
151710,TRUE
215541,FALSE
212133,FALSE
212134,FALSE
7036,FALSE
7036,FALSE
128484,FALSE
188468,FALSE
206250,TRUE
215741,FALSE
10741,FALSE
58290,FALSE
215358,FALSE
215361,FALSE
91642,FALSE
179458,FALSE
58177,FALSE
27824,FALSE
0,TRUE
206758,FALSE
70991,FALSE
207065,FALSE
206926,FALSE
206928,FALSE
199031,FALSE
114875,FALSE
206830,FALSE
15367,FALSE
5773,FALSE
0,FALSE
0,FALSE
167786,FALSE
190836,FALSE
97965,FALSE
9245,FALSE
212055,FALSE
27601,FALSE
167637,FALSE
129559,TRUE
0,TRUE
198982,FALSE
14853,FALSE
98597,FALSE
98597,FALSE
6437,FALSE
33265,FALSE
0,FALSE
55922,FALSE
15428,FALSE
187115,TRUE
139913,FALSE
194040,TRUE
120116,FALSE
120116,FALSE
6481,FALSE
6481,FALSE
10539,FALSE
222484,FALSE
67378,FALSE
14703,FALSE
14703,FALSE
98642,FALSE
212221,FALSE
34358,FALSE
179462,FALSE
129562,TRUE
82278,FALSE
82278,FALSE
176588,FALSE
134906,TRUE
192519,FALSE
187119,FALSE
57248,TRUE
57248,TRUE
0,TRUE
206645,FALSE
71086,FALSE
206847,FALSE
58373,FALSE
14722,FALSE
188702,FALSE
216212,FALSE
189521,TRUE
47509,FALSE
47700,FALSE
206949,FALSE
57662,TRUE
215342,FALSE
95054,TRUE
184102,TRUE
215312,TRUE
12284,FALSE
110836,FALSE
215936,FALSE
140146,FALSE
192642,FALSE
68272,FALSE
196427,FALSE
194043,TRUE
192544,FALSE
69254,FALSE
98276,TRUE
37675,TRUE
205484,TRUE
100587,TRUE
120743,TRUE
120743,TRUE
215354,FALSE
215357,FALSE
14281,FALSE
7821,FALSE
12088,FALSE
39166,FALSE
39166,FALSE
215524,FALSE
176429,FALSE
57666,FALSE
0,TRUE
198818,FALSE
212241,FALSE
222757,FALSE
2290,FALSE
27160,FALSE
14306,FALSE
207055,FALSE
207059,FALSE
34814,FALSE
34814,FALSE
71878,FALSE
6960,FALSE
36379,FALSE
10562,FALSE
37410,FALSE
0,FALSE
0,FALSE
18743,FALSE
184003,TRUE
198372,FALSE
198584,FALSE
137160,TRUE
179472,FALSE
4386,FALSE
116897,TRUE
69185,FALSE
69185,FALSE
177520,TRUE
194063,TRUE
192521,FALSE
39445,FALSE
39445,FALSE
97041,TRUE
222499,FALSE
33431,FALSE
33431,FALSE
194025,TRUE
192693,TRUE
182958,FALSE
14999,FALSE
39441,TRUE
9439,FALSE
0,TRUE
199280,FALSE
189515,TRUE
145495,FALSE
135074,FALSE
71880,FALSE
155977,TRUE
155977,TRUE
6750,FALSE
5954,FALSE
5954,FALSE
194080,TRUE
215494,FALSE
212022,FALSE
198745,FALSE
198984,FALSE
215974,FALSE
206627,FALSE
10520,FALSE
10520,FALSE
218938,FALSE
191131,FALSE
7118,FALSE
129558,TRUE
176685,FALSE
179478,FALSE
124405,FALSE
12588,FALSE
199035,FALSE
199232,FALSE
14011,FALSE
215730,FALSE
192514,FALSE
9457,FALSE
33276,FALSE
192220,FALSE
192222,FALSE
215484,FALSE
215542,FALSE
170788,TRUE
129819,FALSE
215619,FALSE
212191,FALSE
652,FALSE
3843,FALSE
139822,FALSE
196486,FALSE
215495,FALSE
194031,TRUE
189534,TRUE
161444,FALSE
183060,FALSE
0,TRUE
198816,FALSE
212060,FALSE
176834,FALSE
0,TRUE
198986,FALSE
215319,FALSE
